ColumnFromC,ColumnFromM,ColumnFromN
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
AFG,AFG,AFG
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
ALB,ALB,ALB
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
DZA,DZA,DZA
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AND,AND,AND
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
AGO,AGO,AGO
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
